ref_conv,gen_conv
{'scores': [0.0040137190371751785]},{'scores': [0.0003886114282067865]}
{'scores': [0.012672792188823223]},{'scores': [0.004895444493740797]}
{'scores': [3.097723674727604e-05]},{'scores': [1.1171356391059817e-06]}
{'scores': [0.0008287615492008626]},{'scores': [4.0232305764220655e-05]}
{'scores': [0.012018092907965183]},{'scores': [0.009814686141908169]}
{'scores': [0.0005779860075563192]},{'scores': [0.00635042879730463]}
{'scores': [0.0009013849194161594]},{'scores': [0.0007893298752605915]}
{'scores': [0.002827367978170514]},{'scores': [0.0033039513509720564]}
{'scores': [2.055764696251572e-07]},{'scores': [2.0111940557399066e-07]}
{'scores': [0.1403115838766098]},{'scores': [0.03014260344207287]}
{'scores': [0.02494530938565731]},{'scores': [0.0012064219918102026]}
{'scores': [0.008998490869998932]},{'scores': [0.0034846423659473658]}
{'scores': [0.021467983722686768]},{'scores': [0.004844552371650934]}
{'scores': [0.007719311863183975]},{'scores': [0.0026252761017531157]}
{'scores': [9.762214176589623e-06]},{'scores': [1.9609635273809545e-05]}
{'scores': [0.0006938530132174492]},{'scores': [2.930938990175491e-06]}
{'scores': [0.00043119327165186405]},{'scores': [0.0003355699882376939]}
{'scores': [5.7018521459895055e-08]},{'scores': [8.359919547729078e-07]}
{'scores': [0.0010234119836241007]},{'scores': [0.0031277108937501907]}
{'scores': [0.0003584004007279873]},{'scores': [7.070115657370479e-07]}
{'scores': [0.17455540597438812]},{'scores': [0.119704470038414]}
{'scores': [0.13841412961483002]},{'scores': [0.007971868850290775]}
{'scores': [0.00013060691708233207]},{'scores': [0.00040517692104913294]}
{'scores': [0.00038709514774382114]},{'scores': [0.03365662321448326]}
{'scores': [0.001909482292830944]},{'scores': [0.0009257278870791197]}
{'scores': [0.00039894829387776554]},{'scores': [0.0077351536601781845]}
{'scores': [0.012155194766819477]},{'scores': [0.006835391279309988]}
{'scores': [0.07074195891618729]},{'scores': [0.1308096945285797]}
{'scores': [3.267835563747212e-05]},{'scores': [1.5623183571733534e-05]}
{'scores': [0.004293639678508043]},{'scores': [0.005391241982579231]}
{'scores': [1.1171600817760918e-05]},{'scores': [4.37661656178534e-05]}
{'scores': [2.0447079585039774e-09]},{'scores': [7.537319106631912e-07]}
{'scores': [0.008259836584329605]},{'scores': [0.00022696286032442003]}
{'scores': [0.0006608545663766563]},{'scores': [0.0002987403713632375]}
{'scores': [0.00020804924133699387]},{'scores': [0.0004047098336741328]}
{'scores': [7.638113774278976e-13]},{'scores': [1.5208244121822645e-06]}
{'scores': [4.525997428572737e-05]},{'scores': [0.0001437030005035922]}
{'scores': [3.704987534547399e-07]},{'scores': [2.912343461503042e-06]}
{'scores': [0.0024313083849847317]},{'scores': [0.0018262662924826145]}
{'scores': [7.965755685290787e-06]},{'scores': [1.1309972251183353e-05]}
{'scores': [8.639033330837265e-05]},{'scores': [0.00016046837845351547]}
{'scores': [0.05044364184141159]},{'scores': [0.030500231310725212]}
{'scores': [0.10574916750192642]},{'scores': [0.12445075064897537]}
{'scores': [0.044422585517168045]},{'scores': [0.09777507930994034]}
{'scores': [5.056499503552914e-05]},{'scores': [2.6717816581367515e-05]}
{'scores': [0.003678634762763977]},{'scores': [0.005019908770918846]}
{'scores': [0.009030980058014393]},{'scores': [0.009745810180902481]}
{'scores': [0.0537586435675621]},{'scores': [0.015248993411660194]}
{'scores': [0.0008162744343280792]},{'scores': [0.0007622034172527492]}
{'scores': [0.0023230055812746286]},{'scores': [0.023836536332964897]}
{'scores': [4.497658778745972e-08]},{'scores': [4.539736437436659e-06]}
{'scores': [1.3342639704205794e-07]},{'scores': [8.077959137153812e-06]}
{'scores': [7.249508053064346e-05]},{'scores': [7.905228812887799e-06]}
{'scores': [0.0047201658599078655]},{'scores': [0.0007272383663803339]}
{'scores': [4.602813351084478e-05]},{'scores': [4.489954335440416e-06]}
{'scores': [3.0416367735597305e-05]},{'scores': [0.0013115430483594537]}
{'scores': [0.0008124843589030206]},{'scores': [0.00023651166702620685]}
{'scores': [0.0004649366601370275]},{'scores': [0.00022312704822979867]}
{'scores': [0.002975395880639553]},{'scores': [0.0015692523447796702]}
{'scores': [0.002122275298461318]},{'scores': [0.005471596494317055]}
{'scores': [1.0888177712331526e-05]},{'scores': [2.6630018510331865e-06]}
{'scores': [1.0491966122572194e-06]},{'scores': [0.0019675041548907757]}
{'scores': [0.006631588097661734]},{'scores': [0.02696915529668331]}
{'scores': [0.0005563293234445155]},{'scores': [6.808051693951711e-05]}
{'scores': [0.0020451496820896864]},{'scores': [0.000850688957143575]}
{'scores': [0.03003571927547455]},{'scores': [0.03006606735289097]}
{'scores': [0.0004459570627659559]},{'scores': [0.0008349582203663886]}
{'scores': [0.0003070072561968118]},{'scores': [0.0001059837595676072]}
{'scores': [0.048777658492326736]},{'scores': [0.20830655097961426]}
{'scores': [5.928901828156086e-06]},{'scores': [8.695897849975154e-05]}
{'scores': [0.0019618903752416372]},{'scores': [0.00258034560829401]}
{'scores': [8.949720964324115e-10]},{'scores': [2.6463629509976272e-08]}
{'scores': [0.007318471558392048]},{'scores': [0.04516471177339554]}
{'scores': [5.9288155171088874e-05]},{'scores': [0.010150863789021969]}
{'scores': [1.3884006875741761e-05]},{'scores': [4.004009497293737e-06]}
{'scores': [0.07594293355941772]},{'scores': [0.2561730146408081]}
{'scores': [2.5199551600962877e-05]},{'scores': [2.8241509426152334e-05]}
{'scores': [0.11195976287126541]},{'scores': [0.1024593934416771]}
{'scores': [0.0006730262539349496]},{'scores': [0.001374269719235599]}
{'scores': [2.8957376798643963e-06]},{'scores': [2.512543005650514e-06]}
{'scores': [0.19976647198200226]},{'scores': [0.24618925154209137]}
{'scores': [0.008176618255674839]},{'scores': [0.0034808001946657896]}
{'scores': [0.00030919117853045464]},{'scores': [0.000190342529094778]}
{'scores': [0.000912363815587014]},{'scores': [0.00012845805031247437]}
{'scores': [0.0004165575955994427]},{'scores': [0.0017999457195401192]}
{'scores': [0.0018917721463367343]},{'scores': [0.0001391833066008985]}
{'scores': [0.004259906709194183]},{'scores': [0.005707655102014542]}
{'scores': [0.00554799335077405]},{'scores': [0.0004759910807479173]}
{'scores': [0.0013286960311233997]},{'scores': [0.00041805836372077465]}
{'scores': [0.0006898962310515344]},{'scores': [0.0002990883367601782]}
{'scores': [0.041036296635866165]},{'scores': [0.039659857749938965]}
{'scores': [0.06507103890180588]},{'scores': [0.0069349524565041065]}
{'scores': [0.00024068966740742326]},{'scores': [0.0004389210371300578]}
{'scores': [0.006289056036621332]},{'scores': [0.01761232502758503]}
{'scores': [0.05039750039577484]},{'scores': [0.04449259489774704]}
{'scores': [0.005058130715042353]},{'scores': [0.010319937020540237]}
{'scores': [0.011026173830032349]},{'scores': [0.015904733911156654]}
{'scores': [0.010059233754873276]},{'scores': [0.0001362432522000745]}
{'scores': [0.11382383853197098]},{'scores': [0.19907911121845245]}
{'scores': [0.0013135825283825397]},{'scores': [0.002675601514056325]}
{'scores': [0.0002167820348404348]},{'scores': [0.001068971585482359]}
{'scores': [0.00027441015117801726]},{'scores': [4.0685808926355094e-05]}
{'scores': [0.019748978316783905]},{'scores': [0.014376848004758358]}
{'scores': [0.0015840667765587568]},{'scores': [0.00614472571760416]}
{'scores': [0.00020220364967826754]},{'scores': [0.0004654626245610416]}
{'scores': [9.383255928696599e-06]},{'scores': [6.62931997794658e-05]}
{'scores': [0.0007934682653285563]},{'scores': [3.987277887063101e-05]}
{'scores': [0.01153645571321249]},{'scores': [0.081098772585392]}
{'scores': [0.00048152304952964187]},{'scores': [1.7957949239644222e-05]}
{'scores': [0.004503336269408464]},{'scores': [0.0005535439122468233]}
{'scores': [0.0021256692707538605]},{'scores': [0.0018574497662484646]}
{'scores': [0.04788905754685402]},{'scores': [0.010306602343916893]}
{'scores': [0.005568575579673052]},{'scores': [0.0017758976900950074]}
{'scores': [0.006795613095164299]},{'scores': [0.00300137372687459]}
{'scores': [0.0012934302212670445]},{'scores': [0.0004067139816470444]}
{'scores': [0.004549060016870499]},{'scores': [0.033149588853120804]}
{'scores': [4.061610161443241e-05]},{'scores': [4.437432289705612e-05]}
{'scores': [0.022884687408804893]},{'scores': [0.005792310461401939]}
{'scores': [2.2766211259295233e-05]},{'scores': [0.00011063185229431838]}
{'scores': [0.00015160813927650452]},{'scores': [2.5041534172487445e-05]}
{'scores': [0.006109190173447132]},{'scores': [0.004431074019521475]}
{'scores': [0.0032687028869986534]},{'scores': [0.01820778287947178]}
{'scores': [0.00015677802730351686]},{'scores': [0.0018457244150340557]}
{'scores': [0.010998804122209549]},{'scores': [0.006096937693655491]}
{'scores': [0.152665913105011]},{'scores': [0.17057961225509644]}
{'scores': [0.0029584288131445646]},{'scores': [0.010303138755261898]}
{'scores': [0.0033999632578343153]},{'scores': [0.00041408295510336757]}
{'scores': [0.0008363007218576968]},{'scores': [0.006048840936273336]}
{'scores': [0.0009477215353399515]},{'scores': [0.005949483718723059]}
{'scores': [8.650030213175341e-05]},{'scores': [4.5674485591007397e-05]}
{'scores': [0.0018894965760409832]},{'scores': [0.0012570879189297557]}
{'scores': [0.03099651075899601]},{'scores': [0.005549067165702581]}
{'scores': [0.017447561025619507]},{'scores': [0.0032062302343547344]}
{'scores': [0.0005581955192610621]},{'scores': [6.931039706614683e-07]}
{'scores': [0.025956720113754272]},{'scores': [0.030912581831216812]}
{'scores': [1.4513895621348638e-05]},{'scores': [0.0002455145586282015]}
{'scores': [0.013430996797978878]},{'scores': [0.022031228989362717]}
{'scores': [0.00020653055980801582]},{'scores': [0.00011713214917108417]}
{'scores': [0.0001708752242848277]},{'scores': [9.724096889840439e-05]}
{'scores': [2.8573485906235874e-06]},{'scores': [3.684265337255965e-08]}
{'scores': [0.0010309406789019704]},{'scores': [0.0016850099200382829]}
{'scores': [0.001091166166588664]},{'scores': [0.002767306286841631]}
{'scores': [0.001347208977676928]},{'scores': [0.00038795420550741255]}
{'scores': [0.02497902512550354]},{'scores': [0.017753995954990387]}
{'scores': [0.013294612988829613]},{'scores': [0.009777383878827095]}
{'scores': [0.002736225025728345]},{'scores': [0.000919418758712709]}
{'scores': [0.03196829557418823]},{'scores': [0.031889937818050385]}
{'scores': [5.480490017362172e-08]},{'scores': [8.352211283702005e-11]}
{'scores': [0.0032091177999973297]},{'scores': [0.0002104092709487304]}
{'scores': [0.0044866339303553104]},{'scores': [0.001182779436931014]}
{'scores': [3.238743738620542e-05]},{'scores': [0.00015830574557185173]}
{'scores': [0.0011603754246607423]},{'scores': [0.00023086303554009646]}
{'scores': [2.3985969619388925e-06]},{'scores': [3.814902811427601e-05]}
{'scores': [0.0001131499811890535]},{'scores': [3.62108949047979e-05]}
{'scores': [0.009233557619154453]},{'scores': [0.0002907700836658478]}
{'scores': [0.31700968742370605]},{'scores': [0.5728089809417725]}
{'scores': [0.20409050583839417]},{'scores': [0.03291700780391693]}
{'scores': [0.040386952459812164]},{'scores': [0.02067902870476246]}
{'scores': [7.659402854187647e-07]},{'scores': [5.646641056955559e-06]}
{'scores': [0.00022263913706410676]},{'scores': [3.143393769278191e-05]}
{'scores': [5.045652142143808e-05]},{'scores': [8.237138536060229e-05]}
{'scores': [0.009223482571542263]},{'scores': [0.010084991343319416]}
{'scores': [0.000111776651465334]},{'scores': [4.573288606479764e-05]}
{'scores': [1.0884180483117234e-05]},{'scores': [0.017484022304415703]}
{'scores': [9.356377631775104e-06]},{'scores': [5.011943926547247e-07]}
{'scores': [6.613105142605491e-06]},{'scores': [0.00013703112199436873]}
{'scores': [0.02251264825463295]},{'scores': [0.031316645443439484]}
{'scores': [0.02510819025337696]},{'scores': [0.019956033676862717]}
{'scores': [1.621554656594526e-05]},{'scores': [4.651755261875223e-06]}
{'scores': [0.002440060256049037]},{'scores': [0.00012276948837097734]}
{'scores': [0.00011471287143649533]},{'scores': [0.001247034058906138]}
{'scores': [0.0038868244737386703]},{'scores': [0.006140189711004496]}
{'scores': [0.01102477964013815]},{'scores': [0.002784322714433074]}
{'scores': [0.005593658424913883]},{'scores': [0.0003476540732663125]}
{'scores': [0.007260309997946024]},{'scores': [0.028441710397601128]}
{'scores': [0.0011502892011776567]},{'scores': [0.0005938552785664797]}
{'scores': [0.0008312207646667957]},{'scores': [6.207002297742292e-05]}
{'scores': [0.1067635640501976]},{'scores': [0.0018607360543683171]}
{'scores': [0.00020567471801768988]},{'scores': [0.0003814471419900656]}
{'scores': [2.489281541784294e-05]},{'scores': [1.4591897752325167e-06]}
{'scores': [0.0032911160960793495]},{'scores': [0.00271995784714818]}
{'scores': [0.10585721582174301]},{'scores': [0.11791110783815384]}
{'scores': [3.199796992703341e-06]},{'scores': [1.509971070845495e-06]}
{'scores': [0.01687646098434925]},{'scores': [0.01288412045687437]}
{'scores': [0.002202550182119012]},{'scores': [7.291955171240261e-06]}
{'scores': [0.004626539070159197]},{'scores': [0.012847349047660828]}
{'scores': [0.0001499742065789178]},{'scores': [0.0009542551706545055]}
{'scores': [0.02694292739033699]},{'scores': [0.04568469151854515]}
{'scores': [0.004410069435834885]},{'scores': [0.02884519472718239]}
{'scores': [0.08457471430301666]},{'scores': [0.2554425597190857]}
{'scores': [0.018189258873462677]},{'scores': [0.02307358756661415]}
{'scores': [0.0024782137479633093]},{'scores': [0.0005578322452493012]}
{'scores': [0.01612577587366104]},{'scores': [0.043556299060583115]}
{'scores': [0.0007713862578384578]},{'scores': [0.0006776261143386364]}
{'scores': [0.046170078217983246]},{'scores': [0.05132013186812401]}
{'scores': [0.04117647185921669]},{'scores': [0.031629323959350586]}
{'scores': [0.001686626230366528]},{'scores': [0.009910918772220612]}
{'scores': [0.00015989014355000108]},{'scores': [0.0013847319642081857]}
{'scores': [0.002815002342686057]},{'scores': [0.0014722720952704549]}
{'scores': [1.5358596172632133e-08]},{'scores': [1.4339036624733126e-06]}
{'scores': [0.0001158693921752274]},{'scores': [0.002005385933443904]}
{'scores': [0.0006980227772146463]},{'scores': [2.3636457626707852e-05]}
{'scores': [0.00415506586432457]},{'scores': [0.0048690661787986755]}
{'scores': [0.0006051245727576315]},{'scores': [0.002248993143439293]}
{'scores': [0.0133679723367095]},{'scores': [0.011732343584299088]}
{'scores': [0.000952037051320076]},{'scores': [0.0008215420530177653]}
{'scores': [0.02052140422165394]},{'scores': [0.05069675296545029]}
{'scores': [0.02249334380030632]},{'scores': [0.040243037045001984]}
{'scores': [9.041849989444017e-05]},{'scores': [4.254234227119014e-05]}
{'scores': [1.3493213373294566e-05]},{'scores': [2.7829557325276255e-08]}
{'scores': [0.00781959854066372]},{'scores': [0.01928059384226799]}
{'scores': [0.05746086314320564]},{'scores': [0.0001405984367011115]}
{'scores': [1.4191916761774337e-06]},{'scores': [5.582074663834646e-06]}
{'scores': [0.024541161954402924]},{'scores': [0.12336257845163345]}
{'scores': [0.0023042955435812473]},{'scores': [0.0014902721159160137]}
{'scores': [0.0035641733556985855]},{'scores': [0.01592070795595646]}
{'scores': [0.12657614052295685]},{'scores': [0.14100287854671478]}
{'scores': [0.007070065476000309]},{'scores': [0.00028972188010811806]}
{'scores': [6.632507574977353e-05]},{'scores': [0.002486817305907607]}
{'scores': [0.0005274842260405421]},{'scores': [0.00016208273882512003]}
{'scores': [0.0027195855509489775]},{'scores': [0.002331226598471403]}
{'scores': [0.004560382105410099]},{'scores': [0.006411383394151926]}
{'scores': [8.31964825920295e-06]},{'scores': [2.7165529900230467e-05]}
{'scores': [0.011814028955996037]},{'scores': [0.0016904547810554504]}
{'scores': [0.02437577396631241]},{'scores': [0.010957024991512299]}
{'scores': [0.0006323266425170004]},{'scores': [0.0013112056767567992]}
{'scores': [0.14765039086341858]},{'scores': [0.254287451505661]}
{'scores': [0.0007117029163055122]},{'scores': [5.667065579473274e-06]}
{'scores': [0.007447124924510717]},{'scores': [0.007129619363695383]}
{'scores': [0.0057986765168607235]},{'scores': [0.0007284938474185765]}
{'scores': [0.00019861722830682993]},{'scores': [0.0005901035037823021]}
{'scores': [0.00020423662499524653]},{'scores': [0.00024399679386988282]}
{'scores': [0.0049622501246631145]},{'scores': [1.1592906048463192e-05]}
{'scores': [0.058726586401462555]},{'scores': [0.020525455474853516]}
{'scores': [0.009193198755383492]},{'scores': [0.004841341637074947]}
{'scores': [0.0013564327964559197]},{'scores': [0.0014844262041151524]}
{'scores': [0.005142738111317158]},{'scores': [0.02811015583574772]}
{'scores': [0.007193181198090315]},{'scores': [0.0004620921390596777]}
{'scores': [0.004455546382814646]},{'scores': [0.03733403980731964]}
{'scores': [0.0007783641340211034]},{'scores': [0.0012230195570737123]}
{'scores': [0.0014584485907107592]},{'scores': [0.0007536892662756145]}
{'scores': [0.0006027595954947174]},{'scores': [0.00019843947666231543]}
{'scores': [1.697327934380155e-05]},{'scores': [1.0386106907844805e-07]}
{'scores': [2.5381532395840622e-06]},{'scores': [1.284421902170152e-08]}
{'scores': [0.10446666181087494]},{'scores': [0.09060397744178772]}
{'scores': [0.11209428310394287]},{'scores': [0.032010387629270554]}
{'scores': [1.2996614451310506e-08]},{'scores': [2.0391530597407836e-06]}
{'scores': [0.0004346685891505331]},{'scores': [0.00036693114088848233]}
{'scores': [0.000595410936512053]},{'scores': [0.04668554663658142]}
{'scores': [0.0013865346554666758]},{'scores': [0.032182369381189346]}
{'scores': [0.017792437225580215]},{'scores': [0.015248993411660194]}
{'scores': [0.0008284934447146952]},{'scores': [0.029356002807617188]}
{'scores': [0.010035168379545212]},{'scores': [0.012879003770649433]}
{'scores': [0.0032106649596244097]},{'scores': [0.005908937193453312]}
{'scores': [0.010029692202806473]},{'scores': [0.0006850733188912272]}
{'scores': [0.03034343384206295]},{'scores': [0.15042339265346527]}
{'scores': [8.696334589330945e-06]},{'scores': [1.820998818402586e-06]}
{'scores': [0.09610821306705475]},{'scores': [0.08879420906305313]}
{'scores': [8.581103827509651e-08]},{'scores': [3.564979067505192e-07]}
{'scores': [0.012671558186411858]},{'scores': [0.0023846409749239683]}
{'scores': [0.00012075162521796301]},{'scores': [0.0011373801389709115]}
{'scores': [0.010535999201238155]},{'scores': [0.0015800604596734047]}
{'scores': [0.07616652548313141]},{'scores': [0.0368538498878479]}
{'scores': [0.06204159930348396]},{'scores': [0.0019717274699360132]}
{'scores': [0.00032674806425347924]},{'scores': [0.0011341954814270139]}
{'scores': [0.12670734524726868]},{'scores': [0.008560317568480968]}
{'scores': [0.0037823948077857494]},{'scores': [0.006363803055137396]}
{'scores': [0.07466979324817657]},{'scores': [0.03372500464320183]}
{'scores': [1.0767877938633319e-05]},{'scores': [0.00036958593409508467]}
{'scores': [0.0006123783532530069]},{'scores': [0.0006415698444470763]}
{'scores': [0.00010780102456919849]},{'scores': [2.805018812068738e-05]}
{'scores': [0.0014263062039390206]},{'scores': [0.005910143721848726]}
{'scores': [0.0007046658429317176]},{'scores': [0.003327865619212389]}
{'scores': [2.450747388138552e-06]},{'scores': [8.46530201670248e-06]}
{'scores': [0.019771283492445946]},{'scores': [0.015592860989272594]}
{'scores': [0.0065964083187282085]},{'scores': [0.022324010729789734]}
{'scores': [0.0008368530543521047]},{'scores': [0.03193257749080658]}
{'scores': [0.00012700475053861737]},{'scores': [2.7356298232916743e-05]}
{'scores': [0.0003849552304018289]},{'scores': [0.00034388716449029744]}
{'scores': [0.00012656470062211156]},{'scores': [8.46949296828825e-06]}
{'scores': [7.71458144299686e-05]},{'scores': [7.359534356510267e-05]}
{'scores': [5.3408246458275244e-05]},{'scores': [0.00025645128334872425]}
{'scores': [1.8243346175950137e-06]},{'scores': [2.388129018981999e-07]}
{'scores': [0.007549842353910208]},{'scores': [0.000275996804703027]}
{'scores': [0.12398437410593033]},{'scores': [0.10536588728427887]}
{'scores': [9.941245480149519e-06]},{'scores': [2.661161488504149e-06]}
{'scores': [0.005499192979186773]},{'scores': [0.0026096622459590435]}
{'scores': [0.03234922140836716]},{'scores': [0.006115864962339401]}
{'scores': [0.0010103475069627166]},{'scores': [0.00035761986509896815]}
{'scores': [2.6903540856437758e-05]},{'scores': [2.125288801835268e-06]}
{'scores': [0.00543123297393322]},{'scores': [0.011349305510520935]}
{'scores': [0.022748161107301712]},{'scores': [0.015941204503178596]}
{'scores': [0.40963155031204224]},{'scores': [0.5240921378135681]}
{'scores': [0.005344003438949585]},{'scores': [0.0005705673829652369]}
{'scores': [0.0038903893437236547]},{'scores': [0.016353698447346687]}
{'scores': [0.0004938548663631082]},{'scores': [0.0004039385530631989]}
{'scores': [0.0012499113800004125]},{'scores': [0.0006530227256007493]}
{'scores': [0.03958539664745331]},{'scores': [0.007879218086600304]}
{'scores': [0.00281389313749969]},{'scores': [0.0026557091623544693]}
{'scores': [0.005180243868380785]},{'scores': [0.0022088142577558756]}
{'scores': [0.00024931738153100014]},{'scores': [8.188602805603296e-06]}
{'scores': [3.0795123166171834e-05]},{'scores': [4.7755587729625404e-05]}
{'scores': [0.003029150888323784]},{'scores': [0.00028972188010811806]}
{'scores': [0.018800681456923485]},{'scores': [0.014340102672576904]}
{'scores': [2.381606464041397e-05]},{'scores': [0.00023069798771757632]}
{'scores': [0.09675885736942291]},{'scores': [0.09935298562049866]}
{'scores': [0.018682638183236122]},{'scores': [0.28634852170944214]}
{'scores': [0.08568386733531952]},{'scores': [0.06905365735292435]}
{'scores': [5.131394573254511e-05]},{'scores': [1.0900104825850576e-05]}
{'scores': [0.01850619912147522]},{'scores': [0.0022161081433296204]}
{'scores': [0.01321440003812313]},{'scores': [0.009433642961084843]}
{'scores': [0.0020445191767066717]},{'scores': [0.001257459749467671]}
{'scores': [6.60267032799311e-05]},{'scores': [2.065527041850146e-05]}
{'scores': [9.989335376303643e-05]},{'scores': [2.9044913389952853e-05]}
{'scores': [0.004033663310110569]},{'scores': [0.0051000965759158134]}
{'scores': [0.016587739810347557]},{'scores': [0.005310870241373777]}
{'scores': [0.0010881323833018541]},{'scores': [0.00018028068006969988]}
{'scores': [4.394298230181448e-05]},{'scores': [3.145513983326964e-05]}
{'scores': [0.00798383541405201]},{'scores': [0.007879218086600304]}
{'scores': [1.02450803751708e-06]},{'scores': [2.3949709770931804e-07]}
{'scores': [4.474258275877219e-06]},{'scores': [1.0662619160939357e-06]}
{'scores': [0.0004891722346656024]},{'scores': [0.0031098758336156607]}
{'scores': [0.00291307270526886]},{'scores': [0.001952876802533865]}
{'scores': [0.006258590146899223]},{'scores': [0.01462545245885849]}
{'scores': [0.02593330480158329]},{'scores': [0.004096836317330599]}
{'scores': [0.0004942396190017462]},{'scores': [0.00038347215740941465]}
{'scores': [0.2683570384979248]},{'scores': [0.12941180169582367]}
{'scores': [6.137749419821148e-09]},{'scores': [1.736084129788651e-07]}
{'scores': [0.0020029423758387566]},{'scores': [0.2190261334180832]}
{'scores': [1.3458308785629924e-05]},{'scores': [6.150494300527498e-06]}
{'scores': [0.00029592550708912313]},{'scores': [4.040278508909978e-05]}
{'scores': [0.0015093983383849263]},{'scores': [0.0026650908403098583]}
{'scores': [0.005087586119771004]},{'scores': [0.004813376348465681]}
{'scores': [0.05075976625084877]},{'scores': [0.06634221971035004]}
{'scores': [0.002133999252691865]},{'scores': [0.009376219473779202]}
{'scores': [0.009870810434222221]},{'scores': [0.024502376094460487]}
{'scores': [0.04796500504016876]},{'scores': [0.02902085706591606]}
{'scores': [0.000115602531877812]},{'scores': [0.0002865670248866081]}
{'scores': [0.3840034604072571]},{'scores': [0.019234007224440575]}
{'scores': [9.135712025454268e-05]},{'scores': [0.00033848342718556523]}
{'scores': [0.0001326196506852284]},{'scores': [0.00031879209564067423]}
{'scores': [0.008532891049981117]},{'scores': [0.053560979664325714]}
{'scores': [0.001477259211242199]},{'scores': [0.0002121736470144242]}
{'scores': [0.045118529349565506]},{'scores': [0.0690949484705925]}
{'scores': [0.019856194034218788]},{'scores': [0.03984290361404419]}
{'scores': [0.0019495338201522827]},{'scores': [0.001465209061279893]}
{'scores': [0.11611077934503555]},{'scores': [0.027818504720926285]}
{'scores': [0.04071134701371193]},{'scores': [0.1791546493768692]}
{'scores': [0.00021633190044667572]},{'scores': [0.0003250835870858282]}
{'scores': [0.03687082603573799]},{'scores': [0.024403540417551994]}
{'scores': [0.028655430302023888]},{'scores': [0.03876972943544388]}
{'scores': [0.028406092897057533]},{'scores': [5.5846037867013365e-05]}
{'scores': [0.0012381537817418575]},{'scores': [0.001285523409023881]}
{'scores': [0.007059551775455475]},{'scores': [0.031350571662187576]}
{'scores': [3.1623731047147885e-06]},{'scores': [1.1816401638498064e-05]}
{'scores': [6.731641769874841e-05]},{'scores': [0.002645896514877677]}
{'scores': [0.000708882522303611]},{'scores': [0.45306557416915894]}
{'scores': [0.1550639122724533]},{'scores': [0.07098009437322617]}
{'scores': [6.18676858721301e-05]},{'scores': [3.881755674228771e-06]}
{'scores': [0.01441546157002449]},{'scores': [0.0029652975499629974]}
{'scores': [0.03504304215312004]},{'scores': [0.019915778189897537]}
{'scores': [0.007587363012135029]},{'scores': [7.035651651676744e-05]}
{'scores': [1.3628718988911714e-05]},{'scores': [3.0250728286773665e-06]}
{'scores': [0.001457344158552587]},{'scores': [0.0087887579575181]}
{'scores': [0.011537923477590084]},{'scores': [0.003590684151276946]}
{'scores': [0.05246708542108536]},{'scores': [0.027663234621286392]}
{'scores': [0.01816377229988575]},{'scores': [0.08254566043615341]}
